key,author,publication_year,title,doi,potentially_counfounded_analysis_present,text_indicating_potentially_counfounded_analysis_present,page,,,,,,,,,,,,,,,,
URQBDE9T,"Curtis, Aisling; Foody, Mairéad; Kelly, Michelle; Murphy, Carol",2020,Using the Implicit Relational Assessment Procedure to explore students’ implicit age discrimination of toxic versus innocuous phrases,,TRUE,"One sample t-tests were conducted to examine differences in participant responding across trial types for each group (Table 2). For the university students, the trial-types toxic-abusive and innocuous-harmless were significantly different from zero at preintervention (t= 6.041, p <.001; t= -6.247, p <.001, respectively) and at post intervention (t= 6.677, p <.001; t= -6.663, p <.001, respectively). For the post-primary students, all four trial-types were significantly different from zero at pre-intervention (toxic-abusive: t= 5.393, p <.001; toxic-harmless: t= 3.763, p= .001; innocuous-abusive: t= -3.748, p= .001; innocuous-harmless: t= -7.540, p <.001), and three of the four trial-types were significant at post-intervention (toxic-abusive: t= 7.454, p <.001; toxic-harmless: t= 2.565, p= .016; innocuous-harmless: t= -6.279, p <.001). The remaining trial-types were not significantly different from zero (see Table 2).",250,,,,,,,,,,,,,,,,
U5PMGA77,"Farrell, Lynn; McHugh, Louise",2020,Exploring the relationship between implicit and explicit gender-STEM bias and behavior among STEM students using the Implicit Relational Assessment Procedure,10.1016/j.jcbs.2019.12.008,TRUE,"One sample t-tests were conducted to examine whether the mean D-IRAP scores of the gender groups (i.e., STEM men and women) significantly differed from 0 for any of the 4 IRAP trial-types1. Significant scores are typically interpreted as reflecting a response bias, for example, responding quicker with True as opposed to False when relating men to STEM. According to one sample t-tests (α = .01252), both men and women exhibited a statistically significant, large pro-Men-STEM response bias, Men: t(23) = 8.24, p < .001, Cohen’s d = 1.7; 95% CI [.41, .69]; Women: t(25) = 6.22, p < .001, Cohen’s d = 1.22, 95% CI [.31, .62]. Men also demonstrated a significant anti-Men-Arts bias of medium strength, t(23) = 3.08, p = .005, Cohen’s d = 0.63; 95% CI [.096, .487]; while women’s anti-Men-Arts bias not statistically significant with a smaller effect size, t(25) = 2.33, p = .028, Cohen’s d = .46;",14 of preprint,,,,,,,,,,,,,,,,
6C8DT2HT,"Farrell, Lynn; Nearchou, Finiki; McHugh, Louise",2020,Examining the effectiveness of brief interventions to strengthen a positive implicit relation between women and STEM across two timepoints,10.1007/s11218-020-09576-w,FALSE,NA,NA,,,,,,,,,,,,,,,,
EML8L7P8,"Fleming, Katie; Foody, Mairead; Murphy, Carol",2020,"Using the Implicit Relational Assessment Procedure (IRAP) to examine implicit gender stereotypes in science, technology, engineering and maths (STEM)",10.1007/s40732-020-00401-6,TRUE,"Single-sample t-tests were conducted to determine the significance of the D-IRAP scores from zero for each trial type and the overall D-scores across both IRAPs. … Results revealed a statistically significant difference from zero for the following trial-types: male-STEM-similar (p < 0.001), male-arts-opposite (p < 0.01; see Table 2).",6 of advance online publication,,,,,,,,,,,,,,,,
QELGUIVU,"Hendriks, Annemieke L.; McEnteggart, Ciara; Barnes-Holmes, Yvonne; De Mey, Hubert R. A.; Witteman, Cilia L. M.; Janssen, Gwenny T. L.; Egger, Jos I. M.",2020,Assessing deictic relational responding in psychosis using the Implicit Relational Assessment Procedure,,FALSE,NA,NA,,,,,,,,,,,,,,,,
3DLJ8ZDK,"Hendriks, Annemieke L.; McEnteggart, Ciara; Barnes-Holmes, Yvonne; Veltmaat, Anouk; De Mey, Hubert R. A.; Witteman, Cilia L. M.; Janssen, Gwenny T. L.; Egger, Jos I. M.",2020,Assessing deictic relational responding in social anxiety using the Implicit Relational Assessment Procedure,,FALSE,NA,NA,,,,,,,,,,,,,,,,
SZF3GG88,"Inoue, Kazuya; Shima, Taiki; Takahashi, Madoka; Lee, Steve K.; Ohtsuki, Tomu; Kumano, Hiroaki",2020,Reliability and validity of the Implicit Relational Assessment Procedure (IRAP) as a measure of Change Agenda,10.1007/s40732-020-00416-z,FALSE,NA,NA,,,,,,,,,,,,,,,,
AGZTLUCT,"Kane, Alan; Murphy, Carol; Kelly, Michelle",2020,Assessing implicit and explicit dementia stigma in young adults and care-workers,10.1177/1471301218804727,TRUE,"The overall mean D-IRAP scores for both groups across each trial-type are presented in Figure 2. The graph shows that the young adults responded to suggest that healthy adults are positive “healthy-positive” t(22) ¼ 4.907, p > .001 and are not negative “healthy-negative” t(22) ¼ 4.090, p ¼ .001. The care-workers showed a similar pattern of responding but the effect was only significant for the “healthy-positive” trial-type, t(16) ¼ 4.294, p ¼ .001. The graph also shows that young adults responded to suggest that adults with dementia are not positive, “dementia-positive” t(22) ¼ –2.371, p ¼ .027, and are negative “dementianegative” t(22) ¼ –2.326, p ¼ .030.",9,,,,,,,,,,,,,,,,
ZUI48CZA,"Leech, Aileen; Barnes-Holmes, Dermot",2020,Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,10.1016/j.beproc.2019.104027,TRUE,"Post hoc comparisons using Fisher’s PLSD tests indicated that the mean scores for the Pet-Pleasant (M = .266, SE = .053) and SpiderPleasant (M = .153, SE = .061) trial types were significantly different from the scores for the Pet-Fear (M = -.004, SE = .035) and Spider-Fear (M = -.097, SE = .059) trial-types (ps < .046, ds < .74).",8,,,,,,,,,,,,,,,,
FQH2U3ZR,"Maloney, Emma; Foody, Mairéad; Murphy, Carol",2020,Do response options in the Implicit Relational Assessment Procedure (IRAP) matter? A comparison of contextual relations versus relational coherent indicators,10.1007/s40732-019-00360-7,TRUE,"Eight one-sample t-tests were conducted to determine which of the four IRAP trial-types in both IRAPs were statistically significant. For both the IRAP types, the D-scores were statistically significant for all but the Unpleasant-Positive trialtype. Trial-type results for the Crel IRAP were as follows: Pleasant-Positive (M = .48, SD = .37, F(39) = 8.21, p <.001); Pleasant-Negative (M = .24, SD = .24, F(39) = 3.70, p < .001); Unpleasant-Positive (M = .08, SD = .46, F(39) = 1.1, p = .26); Unpleasant-Negative (M = .25, SD =.37, F(39) = 4.36, p <.001). Trial-type results for RCI IRAP followed a similar pattern: Pleasant-Positive (M = .42, SD = .38, F (39) =7.12,p <.001). Pleasant-Negative (M = .19, SD = .39, F (39) =3.02,p < .001); Unpleasant-Positive (M = -.07, SD = .41, F(39) = -1.11, p = .27); Unpleasant-Negative (M = .16, SD = .35, F(39) = 2.95, p <.001).",6 of advance online publication,,,,,,,,,,,,,,,,
3NX4FVNT,"Nasso, Selene; Vanderhasselt, Marie-Anne; De Raedt, Rudi",2020,Testing the neurocognitive framework for regulation expectation: The relationship between actual/ideal self-esteem and proactive/reactive autonomic stress regulation,10.1016/j.jbtep.2020.101598,FALSE,NA,NA,,,,,,,,,,,,,,,,
K7392RGF,"Pinto, Joana Andrade Ramalho; de Almeida, Rodrigo Vianna; Bortoloti, Renato",2020,The stimulus’ orienting function may play an important role in IRAP performance: Supportive evidence from an eye-tracking study of brands,10.1007/s40732-020-00378-2,TRUE,"The mean D-IRAP score for the WhatsApp-Happy trial type had the highest scores and was significantly different from zero [t(16) = 8.19, p < 0.0001], which indicates a strong behavioral bias when relating the WhatsApp icon with a happy facial expression.",6 of advance online publication,,,,,,,,,,,,,,,,
3WQV3JLC,"Rice, Hannah; Murphy, Carol; Nolan, Conor; Kelly, Michelle",2020,Measuring implicit attractiveness bias in the context of innocence and guilt evaluations,,TRUE,"The strength of the IRAP effects for each trial-type were analysed by conducting one-sample t-tests. D-scores were statistically significant from 0 on the consistent trial types Attractive-Innocent, for both male and female participants (male participants: M= .390, SD= .339, t(22)= 5.553, p <.001; female participants: M= .345, SD= .324, t(22)= 5.098, p <.001) and Unattractive-Guilty (male participants: M= .249, SD= .354, t(22)= 3.367 p= .003; female participants: M= .206, SD= .310, t(22)= 3.188, p= .004). Responses on the Attractive-Guilty and Unattractive-Innocent trial types were not statistically significant from zero (see Table 2).",280,,,,,,,,,,,,,,,,
VYDDRDC9,"Scanlon, Geraldine; McEnteggart, Ciara; Barnes-Holmes, Yvonne",2020,Attitudes to pupils with EBD: An implicit approach,10.1080/13632752.2020.1729609,TRUE,"Sixteen separate one-group t-tests were also conducted to determine whether each of the IRAP effects differed significantly from zero for each group. For Teacher-Positive, the effects were significant for all four groups (all p’s < .01). For Teacher-Negative, the effects were significant for the three groups of teachers (all p’s < .01). For the EBD Pupil-Positive trial-type, the effect was significant only in the control group (p < .05), and no effects were significant for the EBD Pupil-Negative trialtype (all p’s > .05).",6,,,,,,,,,,,,,,,,
UXKIDUYY,"Cabrera, Isabel; Márquez-González, María; Kishita, Naoko; Vara-García, Carlos; Losada, Andrés",2021,Development and validation of an Implicit Relational Assessment Procedure (IRAP) to measure implicit dysfunctional beliefs about caregiving in dementia family caregivers,10.1007/s40732-020-00445-8,TRUE,"To explore whether the DIRAP scores differed significantly from zero, one-samplet-tests were employed. … For the overall sample, one-samplet-tests revealed that the good caregiver DIRAP score, t(57) =-6.99,p < .001, the bad caregiver DIRAP score, t(57) = -4.79, p < .001, and the overall DIRAP score, t(57) =-7.22,p < .001, were significantly different from zero. The same comparisons were carried out for each age group. For middle-aged caregivers, the good caregiver DIRAP score, t(38) =-4.94,p < .001, the bad caregiver DIRAP score, t(38) =-5.18,p < .001, and the overall DIRAP score, t(38) =-6.02,p < .001, were significantly different from zero. For older adult caregivers, only the good caregiver DIRAP score, t(18) =-5.39,p < .001, and the overall DIRAP score, t(18) =3.89, p = .001, were significantly different from zero. The bad caregiver DIRAP score, t(18) =-1.55,p = .137, was not significantly different from zero, suggesting the absence of bias.",7 of advance online publication,,,,,,,,,,,,,,,,
AM4KK3J3,"Hernández-López, Monica; Quinones-Jimenez, Lourdes; Blanco-Romero, Alberto L.; Rodriguez-Valverde, Miguel",2021,Testing the discrepancy between actual and ideal body image with the Implicit Relational Assessment Procedure (IRAP),10.1186/s40337-021-00434-4,TRUE,"In order to determine if D-IRAP scores were significantly different from zero, one-sample t-tests were conducted. For the IRAPACTUAL, the Actual-Dgeneral score (averaging all trial-types) was .059 (SD = .219), and it was significantly different from zero (t(106) = 2.776, p = .007, d = .269), which is indicative of a small-sized stronger current selfidentification with underweight figure drawings than with overweight/obese figure drawings.",7,,,,,,,,,,,,,,,,
N3VDKDB9,"Michnevich, Twyla; Schmidt, Alexander F.; Scheunemann, Jakob; Moritz, Steffen; Miegel, Franziska; Jelinek, Lena",2021,Aggressiveness in patients with obsessive-compulsive disorder as assessed by the Implicit Relational Assessment Procedure,10.1016/j.jcbs.2021.06.008,TRUE,"Eight one-sample t-tests, one for each TT in both groups, were conducted to examine whether TTs even produced a significant response bias (Bast & Barnes-Holmes, 2015). All individual TTs differed significantly from zero, 2.47 ≤ t ≤ 6.21, ps ≤ .016, aside from the I am not peaceful TT (OCD sample: t(58) = 0.86, p = .395; NCs: t(30) = 1.22, p = .233). This shows that neither group displayed any significant bias towards either I am not – peaceful → correct or I am not – peaceful → incorrect, in that latencies during both responding contingencies were similar. The one-sample t-tests for patients with checking compulsions revealed that TT DIRAP-Scores differed significantly from zero, 2.30 ≤ t ≤ 6.21, ps ≤ .027, again except for the I am not peacefulTT, t(49) = 1.29, p = .205.",180,,,,,,,,,,,,,,,,
23UHYRHE,"Moreira, Murilo; de Almeida, João H.; de Rose, Júlio C.",2021,The impact of career choice on the implicit gender–career bias among undergraduate Brazilian students,10.1007/s42822-021-00075-x,TRUE,"A series of one-sample t tests differing from zero, considering each one of the four trial types, was carried out. All confidence intervals were 95%. For Trial Type 1 (men– male careers), three groups showed scores significantly higher than 0, indicating faster latencies to respond “True” than “False” to the combination male–masculine career: men of STEM, t(21) = 7,457, p < 0.001, Cohen’s d = 1.0723; men of the humanities, t(19) = 6.814, p < 0.001, Cohen’s d = 0.9497; and women of the humanities, t(19) = 2,462, p = 0.0235, Cohen’s d = 0.3275. Only the women from STEM areas did not show a bias relating men to STEM careers, t(19) = 0.3910, p = 0.7002, Cohen’s d = −0.1162. Interestingly, the average scores for this trial type form a gradient in which the scores of men–STEM are the highest, followed by men–humanities and women– humanities, with the fourth score, women–STEM, not significantly different from 0.",473,,,,,,,,,,,,,,,,
8X27WIPN,"Murphy, Rachel; Murphy, Carol; Kelly, Michelle; Roche, Bryan",2021,Using the Implicit Relational Assessment Procedure (IRAP) to examine implicit beauty bias in the context of employability,10.1007/s40732-020-00427-w,TRUE,"The data from the 24 participants who completed the IRAP were included and the four mean D-IRAP scores for each trial are presented in Figure 2. Two of the trial types were statistically significantly different from 0: Attractive-Employable (t (24) = 4.47, p < .001, eta squared = .30); and AttractiveUnemployable (t (24) = 3.92, p <.001,etasquared=0.25). The trial types Unattractive-Employable and UnattractiveUnemployable were not statistically significantly different from zero. These tests indicate that there were biases toward attractive images as employable and not unemployable, but no bias towards unattractive images in either direction.",5 of advance online publication,,,,,,,,,,,,,,,,
8PBSZYDI,"Paliliunas, Dana; Frizell, Chynna B.",2021,Evaluation of college students’ implicit biases toward believability of claims of sexual harassment using the Implicit Relational Assessment Procedure (IRAP),10.1007/s42822-021-00061-3,TRUE,"Additionally, 10 one-sample t tests were conducted to determine whether the overall D-IRAP score, as well as each D-IRAP trial type score in each context, differed significantly from zero (suggesting a significant bias in a particular direction). These analyses revealed a significant result for the public overall D-IRAP score in the pro-modest direction, t(23) = 5.272, p <0.0001;forthe modest-honest trial type in both the private context, t(23) = 5.272, p <0.0001,andthe public context, t(23) = 6.773, p < 0.0001, in the pro-modest direction; and the modestdishonest trial type in the public context, t(23) = 2.569, p = 0.0172, in the pro-modest direction.",10 of advance online publication,,,,,,,,,,,,,,,,
6DZ9Z2BT,"Pidgeon, Audrey; McEnteggart, Ciara; Harte, Colin; Barnes-Holmes, Dermot; Barnes-Holmes, Yvonne",2021,Four self-related IRAPs: Analyzing and interpreting effects in light of the DAARRE model,10.1007/s40732-020-00428-9,TRUE,"Six Scheffe post-hoc tests indicated that the effects for the Similar-Positive trial type differed significantly from the Similar-Negative trial type (p < .0001) and from the Opposite-Negative trial type (p <.002). The Similar-Negative trial type also differed significantly from the Opposite-Positive trial type (p < .001), whereas the remaining trial types did not differ significantly from each other (ps > .1). Four one-sample t-tests confirmed that the Similar-Positive trial type (t=.464, df = 29, p<.0001) and the Opposite-Positive trial type (t=.284, df = 29, p<.0003) were significantly different from zero, however the effects for Opposite-Negative (p =.09)andSimilar-Negative (p = .1) did not reach significance. Overall, participants showed relatively strong effects when coordinating themselves with positive targets, but not when coordinating themselves with negative targets.",5 of advance online publication,,,,,,,,,,,,,,,,
TEQCLYYP,"Rezende, Mauro Carvalho; Bast, Diana Ferroni; Huziwara, Edson Massayuki; Bortoloti, Renato",2021,The Implicit Relational Assessment Procedure as a measure of hopelessness in the elderly: An exploratory study,10.1007/s40732-020-00406-1,TRUE,"A one sample t test applied to group data from each trial type revealed that the low BHS mark participants performed significantly faster [t(18) = 3.31, p = 0.003] in the consistent condition of the trial type 1 (e.g., “I seemyfuturewithhope”—agree) than in the inconsistent one (“I see my future with hope”—disagree). In contrast, higher BHS mark participants performed significantly faster [t(17)= 2.08, p = 0.05] in the inconsistent condition of the trial type 4 (e.g., “I see my future without pessimism”—disagree) than in the consistent one (“I see my future without pessimism”agree). The other data did not yield statistical significance [low hopelessness participants—trial type 2: t(18) = 0.78, p = 0.46; trial type 3: t(18) = 0.11, p = 0.91; trial type 4: t(18) = 1.30, p = 0.21; high hopelessness participants—trial type 1: t(17) = 1.03, p = 0.32; trial type 2: t(17) = 1.9, p = 0.07; trial type 3: t(17) = 0.33, p =0.74].",4 of advance online publication,,,,,,,,,,,,,,,,
HZ3WNSHA,"Schmidt, Margarete; de Rose, Julio C.; Bortoloti, Renato",2021,"Relating, orienting and evoking functions in an IRAP study involving emotional pictographs (emojis) used in electronic messages",10.1016/j.jcbs.2021.06.005,TRUE,"One sample t-tests were applied to verify if D-IRAP scores differed significantly from zero. Trial type 1 produced a significantly positive mean D-IRAP score [t (31) = 9.34, p < 0.0001, Cohen’s d = 1.65] while the mean D-IRAP score for trial type 3 was significantly negative [t (31) = 3.67, p = 0.0009, Cohen’s d = - 0.65]. D-IRAP scores were close to zero on average and not statistically significant for trial types 2 [t (31) = 0.57, p = 0.568, Cohen’s d = 0.10] and 4 [t (31) = 0.38, p = 0.707, Cohen’s d = 0.07]. Bayes factors provide evidence for null effects on trial types 2 (BF10 = 0.220) and 4 (BF10 = 0.202).",83,,,,,,,,,,,,,,,,
MZC6I5IS,"Glock, Sabine; Shevchuk, Anna; Kleen, Hannah",2022,Why Is Murat's achievement so low? Causal attributions and implicit attitudes toward ethnic minority students predict preservice teachers' judgments about achievement,10.3389/fpsyg.2022.819793,TRUE,"For the implicit measures, it is possible to investigate the nature of the attitudes using a one-sample t-test, in which the D-score is tested against a score of 0, which indicates neutral attitudes. In the following, the D-score, one-sample t-test statistics, and Cohen’s ds effect sizes are reported. ... For the BIAT, implicit attitudes were negative (M = 0.23, SD = 0.34), t(72) = 5.82, p < 0.001, d = 0.67, as they were for the IRAP (M = 0.09, SD = 0.34), t(71) = 2.31, p = 0.024, d = 0.26.",6,,,,,,,,,,,,,,,,
RD6I9G9Y,"Kavanagh, Deirdre; Barnes-Holmes, Yvonne; Barnes-Holmes, Dermot",2022,Attempting to analyze perspective-taking with a false belief vignette using the Implicit Relational Assessment Procedure,10.1007/s40732-021-00500-y,TRUE,Eight one-sample t-tests indicated that the effects were significantly different from zero (ps < .05) for both the Self-Glove and Other-Scarf trial type in both conditions and for the Self-Scarf trial type in the Control condition.,9 of advance online publication,,,,,,,,,,,,,,,,
L8E4E5HL,"Leech, Aileen; Barnes-Holmes, Dermot",2022,Fear and avoidance: A three-day investigation on the impact of a fear-related verbal-rehearsal task on a behavior-behavior relation,10.1007/s40732-021-00470-1,FALSE,NA,NA,,,,,,,,,,,,,,,,
PYADQXZL,"Murphy, Carol; Maloney, Emma; Kelly, Michelle",2022,The role of relational contextual cues versus relational coherence indicators as response options on the Implicit Relational Assessment Procedure,10.1007/s40732-022-00512-2,TRUE,The role of relational contextual cues versus relational coherence indicators as response options on the Implicit Relational Assessment Procedure,6 of advance online publication,,,,,,,,,,,,,,,,
TSVDI9SJ,"Nolan, Conor; Murphy, Carol; Kelly, Michelle",2022,Using the IRAP to investigate gender biases towards ADHD and anxiety,10.1007/s40732-021-00474-x,TRUE,"One-sample t-tests were carried out to examine whether the IRAP D-scores differed significantly from zero, and to determine the presence of an IRAP effect. Each trial type was found to be significant (Boy-ADHD: t(35) = 9.223, p < .0005; Girl-ADHD: t(35) = 2.476, p = .018; Anxiety-Boy: t(35) = -4.601, p < .0005; Anxiety-Girl: t(35) =-6.382,p <.0005).",4 of advance online publication,,,,,,,,,,,,,,,,
D6JNLGEF,"Simione, Luca; Vagni, Monia; Maiorano, Tiziana; Giostra, Valeria; Pajardi, Daniela",2022,How implicit attitudes toward vaccination affect vaccine hesitancy and behaviour: Developing and validating the V-IRAP,10.3390/ijerph19074205,TRUE,"To test the significance and the strength of each bias, the four IRAP D-scores were compared to zero with one-sample t-tests. … The analysis revealed a significant positive bias for the COVID-19-negative trial type D-score, M = 0.22 [0.15, 0.29], t(143) = 6.02, p < 0.01, d = 0.50. It also revealed significant positive biases for both VACCINE-negative, M = 0.24 [0.17, 0.31], t(143) = 6.48, p < 0.01, d = 0.54, and VACCINE-positive D-score, M = 0.36 [0.39, 0.42], t(143) = 11.18, p < 0.01, d = 0.93.",8,,,,,,,,,,,,,,,,
